COUNTRY,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,yearToDate,share,periodo_id
Chile,December 2013,2013,12,December,Wind,42.799,553.0,0.007181396928438,48
Chile,December 2013,2013,12,December,Solar,1.322,8.0,0.0002218230972544,48
Chile,December 2013,2013,12,December,Coal,2312.831,28360.618,0.388078166298192,48
Chile,December 2013,2013,12,December,Oil,254.582,5113.074,0.0427172221976125,48
Chile,December 2013,2013,12,December,Natural gas,825.691,10463.458,0.1385456391793955,48
Chile,December 2013,2013,12,December,Combustible renewables,422.514,5403.854,0.0708951317045276,48
Chile,January 2014,2014,1,January,Hydro,1859.865,22814.0,0.3159261256746829,49
Chile,January 2014,2014,1,January,Wind,68.522,1441.001,0.0116394953308334,49
Chile,January 2014,2014,1,January,Solar,5.528,479.999,0.0009390141879811,49
Chile,January 2014,2014,1,January,Coal,2094.513,25425.673,0.355784628059164,49
Chile,January 2014,2014,1,January,Oil,483.172,3808.083,0.082074052683656,49
Chile,January 2014,2014,1,January,Natural gas,891.746,9984.118,0.1514765097821055,49
Chile,January 2014,2014,1,January,Combustible renewables,459.43,5208.127,0.0780411158437411,49
Chile,February 2014,2014,2,February,Hydro,1381.383,22814.0,0.2561718252773158,50
Chile,February 2014,2014,2,February,Wind,81.769,1441.001,0.0151637264836043,50
Chile,February 2014,2014,2,February,Solar,19.629,479.999,0.0036401177358983,50
Chile,February 2014,2014,2,February,Coal,2063.092,25425.673,0.3825919700438097,50
Chile,February 2014,2014,2,February,Oil,308.118,3808.083,0.0571392224030525,50
Chile,February 2014,2014,2,February,Natural gas,1099.694,9984.118,0.2039337527872519,50
Chile,February 2014,2014,2,February,Combustible renewables,414.474,5208.127,0.0768625074363809,50
Chile,March 2014,2014,3,March,Hydro,1381.592,22814.0,0.2325117846931099,51
Chile,March 2014,2014,3,March,Wind,75.237,1441.001,0.0126618344235892,51
Chile,March 2014,2014,3,March,Solar,34.38,479.999,0.0057859014511875,51
Chile,March 2014,2014,3,March,Coal,2186.637,25425.673,0.367994944488668,51
Chile,March 2014,2014,3,March,Oil,545.171,3808.083,0.0917482745795628,51
Chile,March 2014,2014,3,March,Natural gas,1202.603,9984.118,0.2023892508115913,51
Chile,March 2014,2014,3,March,Combustible renewables,492.16,5208.127,0.082826912688088,51
Chile,April 2014,2014,4,April,Hydro,1392.821,22814.0,0.2496131663583586,52
Chile,April 2014,2014,4,April,Wind,78.477,1441.001,0.0140641851726136,52
Chile,April 2014,2014,4,April,Solar,32.418,479.999,0.0058097627957973,52
Chile,April 2014,2014,4,April,Coal,2065.07,25425.673,0.3700896679843682,52
Chile,April 2014,2014,4,April,Oil,324.53,3808.083,0.0581603528940747,52
Chile,April 2014,2014,4,April,Natural gas,1212.753,9984.118,0.2173424412330073,52
Chile,April 2014,2014,4,April,Combustible renewables,449.6,5208.127,0.0805746607745848,52
Chile,May 2014,2014,5,May,Hydro,1611.335,22814.0,0.2766683487672789,53
Chile,May 2014,2014,5,May,Wind,71.953,1441.001,0.0123544251808916,53
Chile,May 2014,2014,5,May,Solar,30.074,479.999,0.005163745540702,53
Chile,May 2014,2014,5,May,Coal,2293.498,25425.673,0.3937966372983003,53
Chile,May 2014,2014,5,May,Oil,230.922,3808.083,0.0396496125473831,53
Chile,May 2014,2014,5,May,Natural gas,1043.365,9984.118,0.1791471492343752,53
